,Brand,Model,Year_of_Manufacture,Fuel_Type,KMs_Driven,Location,Car_Age_Category,Price(in_Lakhs)
441,Maruti Suzuki,Ertiga ZDI + SHVS,2015,Diesel,81000,Hebbal,Old,7.95
442,Tata,Nexon EV XZ Plus,2022,Electric,21617,Bettahalsoor,New,13.0
443,Mahindra,Thar LX Hard Top Petrol AT,2022,Petrol,21700,Adugodi,New,14.39
444,Jeep,Wrangler Rubicon,2023,Petrol,18000,Hebbal,New,69.75
445,Mercedes-Benz,A-Class A 180 CDI Style,2015,Diesel,56000,Adugodi,Old,15.64
446,BMW,X3 xDrive 20d Luxury Line,2020,Diesel,58000,Hebbal,Moderate,54.0
447,Mercedes-Benz,GLS 350 d,2018,Diesel,77000,Hebbal,Moderate,67.0
448,Mercedes-Benz,GLS 350 d,2016,Diesel,60000,Hebbal,Old,54.0
449,Honda,City V Diesel,2016,Diesel,50000,Anand Nagar,Old,6.5
450,Audi,Q3 35 TDI quattro Premium Plus,2018,Diesel,92000,Hebbal,Moderate,22.0
451,Toyota,Innova Crysta ZX 2.7 AT 7 STR,2022,Petrol,24000,Hebbal,New,24.75
452,MG,Hector Sharp 2.0 Diesel,2021,Diesel,20000,Hebbal,Moderate,19.95
453,Jaguar,XF 2.2 Diesel,2013,Diesel,59000,Hebbal,Old,17.45
454,BMW,X3 xDrive-20d xLine,2015,Diesel,97000,Hebbal,Old,25.35
455,Land Rover,Discovery Sport HSE Luxury,2017,Diesel,31000,Hebbal,Moderate,42.45
456,Kia,Seltos HTX Plus 1.5 Diesel,2020,Diesel,58000,Anand Nagar,Moderate,17.25
457,Toyota,Fortuner 4X4 MT 2.8 Diesel,2022,Diesel,81000,Hebbal,New,39.75
458,Maruti Suzuki,Grand Vitara Zeta Smart Hybrid,2023,Mild Hybrid(Electric + Petrol),15000,Adugodi,New,15.25
459,Mahindra,Bolero SLX 2WD,2019,Diesel,126000,Adugodi,Moderate,7.9
460,Maruti Suzuki,Swift VXi,2016,Petrol,69995,Basapura,Old,5.35547
461,Hyundai,Creta SX (O) 1.5 Diesel,2021,Diesel,83000,Anand Nagar,Moderate,16.95
462,BMW,X3 xDrive 30i Luxury Line,2018,Petrol,72000,Hebbal,Moderate,41.0
463,Jaguar,XF 3.0 V6 S Premium Luxury,2012,Diesel,65000,Hebbal,Old,13.25
464,Hyundai,i10 Sportz 1.2 AT Kappa2,2011,Petrol,81000,Anand Nagar,Old,3.85
465,Mercedes-Benz,GL 350 CDI,2015,Diesel,110000,Hebbal,Old,38.0
466,Toyota,Innova Hycross ZX Hybrid 7 STR,2023,Hybrid,20428,BTM Layout,New,37.0
467,Hyundai,Venue SX (O) 1.0 Turbo iMT,2022,Petrol,18000,Hebbal,New,13.25
468,Hyundai,Verna 1.6 CRDI SX (O),2018,Diesel,85000,Hebbal,Moderate,11.92
469,Hyundai,Elite i20 Sportz 1.2,2018,Petrol,19000,Hebbal,Moderate,7.23
470,Hyundai,Creta SX Plus 1.6  Petrol,2019,Petrol,92000,Hebbal,Moderate,11.1
471,Volkswagen,Vento Highline Diesel AT,2015,Diesel,86000,Hebbal,Old,6.92
472,Audi,Q5 2.0 TDI quattro Premium,2015,Diesel,71000,Hebbal,Old,22.42
473,Hyundai,Verna Fluidic 1.6 VTVT SX,2015,Petrol,77000,Anand Nagar,Old,6.5
474,Hyundai,Grand i10 Sportz (O) AT 1.2 Kappa VTVT,2017,Petrol,46000,Anand Nagar,Moderate,5.85
475,Renault,Duster RXS CVT,2018,Petrol,27000,Adugodi,Moderate,7.6
476,Volvo,XC40 D4 R-Design,2019,Diesel,40200,Adugodi,Moderate,37.0
477,Mercedes-Benz,GLE 350 d,2017,Diesel,89000,Adugodi,Moderate,45.21
478,Mercedes-Benz,GLA 200 CDI Sport,2015,Diesel,100000,Hebbal,Old,16.5
479,Mahindra,XUV500 W11 AT,2019,Diesel,79000,Anand Nagar,Moderate,16.5
480,Toyota,Innova Crysta 2.4 ZX AT 7 STR,2020,Diesel,83000,Hebbal,Moderate,27.5
481,Mahindra,XUV300 W6 1.2 Petrol AMT,2022,Petrol,23000,BTM Layout,New,10.5
482,Volvo,XC60 Momentum,2019,Diesel,60000,Hebbal,Moderate,39.5
483,Ford,Endeavour Titanium Plus 2.0 4x4 AT,2020,Diesel,39000,Hebbal,Moderate,32.0
484,Audi,Q3 35 TDI Premium Plus + Sunroof,2016,Diesel,92000,Hebbal,Old,16.75
485,Hyundai,Creta 1.6 SX Plus Special Edition,2016,Diesel,96000,Anand Nagar,Old,10.45
486,Hyundai,Creta SX (O) 1.4 Turbo 7 DCT,2020,Petrol,74000,Anand Nagar,Moderate,15.95
487,Mahindra,XUV500 W6,2014,Diesel,104000,Anand Nagar,Old,7.75
488,Maruti Suzuki,Swift VDi,2019,Diesel,72000,Hebbal,Moderate,7.65
489,Ford,EcoSport Titanium 1.5 TDCi,2014,Diesel,89000,Hebbal,Old,6.35
490,Jaguar,XF 2.2 Diesel,2013,Diesel,77000,Hebbal,Old,18.45
491,Toyota,Fortuner 2.8 4x2 MT,2018,Diesel,145000,Hebbal,Moderate,30.83
492,Toyota,Innova Crysta 2.4 ZX 7 STR,2021,Diesel,123000,Hebbal,Moderate,24.95
493,Maruti Suzuki,Celerio ZXi AMT,2017,Petrol,58000,Anand Nagar,Moderate,5.25
494,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT (O),2016,Petrol,30000,Anand Nagar,Old,5.95
495,Hyundai,Creta SX Plus 1.6 CRDI,2017,Diesel,94000,Anand Nagar,Moderate,11.75
496,Skoda,Kushaq Style 1.5L TSI DSG,2021,Petrol,25113,Adugodi,Moderate,15.28
497,Mahindra,XUV500 W8,2013,Diesel,153000,Anand Nagar,Old,6.75
498,Hyundai,Verna SX 1.5 MPi,2022,Petrol,40000,Anand Nagar,New,11.25
499,BMW,X3 xDrive 20d Expedition,2015,Diesel,97000,Adugodi,Old,24.49
500,Volkswagen,T-Roc 1.5 TSI,2020,Petrol,37000,Adugodi,Moderate,19.45
501,BMW,X7 xDrive40i M Sport,2020,Petrol,30000,Hebbal,Moderate,95.0
502,Maruti Suzuki,Vitara Brezza VDi (O),2017,Diesel,122000,Anand Nagar,Moderate,8.25
503,Mercedes-Benz,GLS 350 d,2019,Diesel,49000,Hebbal,Moderate,69.5
504,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT,2014,Petrol,81000,Anand Nagar,Old,5.25
505,Mercedes-Benz,SLK-Class SLK 350,2011,Petrol,30000,Hebbal,Old,33.0
506,Volkswagen,Polo GT TSI,2016,Petrol,35000,BTM Layout,Old,8.25
507,Mahindra,XUV500 W10 AWD AT,2016,Diesel,139000,Anand Nagar,Old,11.75
508,BMW,3 Series GT 320d Luxury Line,2015,Diesel,109435,Adugodi,Old,20.86
509,Volvo,XC40 D4 R-Design,2019,Diesel,38873,Adugodi,Moderate,34.34
510,Mercedes-Benz,C-Class C 220 CDI Avantgarde,2017,Diesel,81000,Hebbal,Moderate,28.25
511,Volkswagen,Polo GT TSI,2021,Petrol,48000,Anand Nagar,Moderate,11.45
512,Mercedes-Benz,GLE 250 d,2019,Diesel,81000,Hebbal,Moderate,44.25
513,Hyundai,Elite i20 Asta 1.2,2017,Petrol,53172,Anand Nagar,Moderate,7.5
514,Porsche,Macan S,2021,Petrol,39000,Hebbal,Moderate,68.75
515,Audi,Q5 2.0 TFSI quattro,2010,Petrol,72000,Hebbal,Old,10.5
516,Mercedes-Benz,C-Class 200 CGI Avantgarde,2011,Petrol,104000,Hebbal,Old,9.0
517,Honda,City VX CVT,2018,Petrol,72141,BTM Layout,Moderate,8.95
518,Hyundai,Creta SX Plus 1.6  Petrol,2018,Petrol,40000,Hebbal,Moderate,10.75
519,Maruti Suzuki,Baleno Alpha Automatic,2020,Petrol,57000,Anand Nagar,Moderate,8.45
520,Maruti Suzuki,Baleno Zeta,2019,Petrol,23518,Anand Nagar,Moderate,7.85
521,Toyota,Innova Crysta 2.4 G 8 STR,2021,Diesel,54000,Hebbal,Moderate,23.75
522,Audi,A6 35 TDI Matrix,2016,Diesel,63000,Hebbal,Old,23.75
523,Hyundai,Creta 1.6 S Petrol,2016,Petrol,45000,Anand Nagar,Old,9.25
524,Volkswagen,Polo GT TSI,2017,Petrol,55549,BTM Layout,Moderate,8.5
525,Hyundai,i20 Sportz 1.2,2014,Petrol,85000,Anand Nagar,Old,4.5
526,Honda,City 1.5 S MT,2011,Petrol,92000,Anand Nagar,Old,4.25
527,Volkswagen,Jetta 1.9L TDI,2009,Diesel,61000,Adugodi,Old,4.9
528,Honda,City 4th Generation V Petrol,2017,Petrol,115000,Adugodi,Moderate,6.5
529,Mercedes-Benz,GLS 350 d,2019,Diesel,59000,BTM Layout,Moderate,74.75
530,Audi,Q3 35 TDI quattro Premium Plus,2019,Diesel,51000,Hebbal,Moderate,31.9
531,BMW,X5 xDrive30d xLine,2020,Diesel,42756,Adugodi,Moderate,74.74
532,Skoda,Kodiaq L&K 2.0 TDI 4x4 AT,2019,Diesel,70000,Adugodi,Moderate,27.75
533,Hyundai,Venue SX 1.0 Turbo iMT,2022,Petrol,18000,Anand Nagar,New,13.25
534,Kia,Seltos GTX Plus AT 1.5 Diesel,2020,Diesel,58546,Singasandra,Moderate,16.75
535,Mercedes-Benz,GLE Coupe 43 AMG 4Matic 2016,2016,Petrol,51000,Adugodi,Old,59.59
536,Honda,Amaze 1.2 EX i-VTEC,2014,Petrol,50911,Singasandra,Old,4.45
537,Tata,Nexon XM,2019,Petrol,57635,Singasandra,Moderate,6.99
538,Maruti Suzuki,XL6 Zeta MT Petrol,2023,Petrol,15546,Singasandra,New,12.25
539,Land Rover,Discovery Sport SE,2017,Diesel,31282,Adugodi,Moderate,39.39
540,Hyundai,Elite i20 Asta 1.2,2018,Petrol,109000,Anand Nagar,Moderate,7.5
541,Honda,Jazz VX Petrol,2017,Petrol,89000,Anand Nagar,Moderate,6.95
542,Audi,e-tron 55,2022,Electric,2856,Adugodi,New,72.72
543,Maruti Suzuki,Swift ZXi AMT,2018,Petrol,29716,Banaswadi,Moderate,7.03
544,Honda,Amaze 1.2 V MT Petrol,2020,Petrol,31000,Anand Nagar,Moderate,8.5
545,Hyundai,i20 Active 1.2 SX,2017,Petrol,92000,Anand Nagar,Moderate,7.25
546,Hyundai,i20 Sportz 1.2 BS-IV,2013,Petrol,122000,Anand Nagar,Old,4.45
547,Mercedes-Benz,GLE 350 d,2017,Diesel,89000,Adugodi,Moderate,43.43
548,Hyundai,Tucson GL 2WD AT Petrol,2017,Petrol,86000,Adugodi,Moderate,13.85
549,Mercedes-Benz,S-Class 350 CDI L,2012,Diesel,99000,Adugodi,Old,17.25
550,Kia,Seltos HTK 1.5 Diesel,2020,Diesel,51041,Basapura,Moderate,11.52
551,Volkswagen,Taigun Topline 1.0 TSI MT,2021,Petrol,97554,Basapura,Moderate,11.75
552,Kia,Seltos GTX Plus 1.5 Diesel AT,2022,Diesel,28064,Basapura,New,17.98
553,Tata,Safari XZA Plus,2022,Diesel,15681,Basapura,New,22.47
554,Skoda,Kushaq Style 1.5L TSI DSG (6 Airbags),2022,Petrol,20282,Basapura,New,17.9
555,Kia,Seltos GTX Plus 1.4 DCT,2019,Petrol,29077,Basapura,Moderate,14.71655
556,Tata,Harrier XZA Plus Dual Tone,2022,Diesel,32613,Basapura,New,18.16
557,Hyundai,Creta SX 1.6 AT CRDi,2019,Diesel,75395,Basapura,Moderate,11.6631
558,Kia,Sonet GTX Plus 1.0 iMT,2020,Petrol,31141,Basapura,Moderate,10.97606
559,MG,Hector Sharp 2.0 Diesel,2019,Diesel,49559,Basapura,Moderate,14.47
560,Kia,Sonet GTX Plus 1.0 DCT,2020,Petrol,33714,Basapura,Moderate,10.92435
561,MG,Hector Sharp 2.0 Diesel Dual Tone,2020,Diesel,63301,Basapura,Moderate,15.32
562,Hyundai,Creta 1.6 SX Plus Petrol,2017,Petrol,40475,Basapura,Moderate,10.25
563,Kia,Seltos GTX Plus 1.4 DCT,2019,Petrol,60467,Basapura,Moderate,13.81
564,MG,Hector Smart Pro 1.5 Turbo Petrol MT,2023,Petrol,15940,Basapura,New,18.62
565,Hyundai,Venue SX (O) 1.0 Turbo iMT,2021,Petrol,17981,Basapura,Moderate,10.94
566,Hyundai,Venue SX Plus 1.0 Turbo DCT,2020,Petrol,22906,Basapura,Moderate,10.25
567,Kia,Seltos GTX Plus 1.4 DCT,2019,Petrol,66007,Basapura,Moderate,13.19
568,Tata,Nexon XZA Plus (O) Dark Edition,2021,Petrol,28606,Basapura,Moderate,11.1
569,Hyundai,Eon Magna +,2017,Petrol,21454,Basapura,Moderate,3.81
570,Hyundai,Grand i10 Nios Magna 1.2 Kappa VTVT,2020,Petrol,21438,Banaswadi,Moderate,5.99
571,Toyota,Etios GD,2014,Diesel,121920,Basapura,Old,4.65
572,Hyundai,Elite i20 Magna 1.2,2015,Petrol,74832,Basapura,Old,4.96
573,Honda,City SV,2014,Petrol,120786,Banaswadi,Old,4.5565
574,Maruti Suzuki,Dzire ZDi Plus,2017,Diesel,121318,Banaswadi,Moderate,6.46
575,Hyundai,Eon D-Lite +,2013,Petrol,87007,Banaswadi,Old,2.29
576,Honda,Jazz V Petrol,2016,Petrol,54782,Banaswadi,Old,5.68
577,Hyundai,Elite i20 Asta 1.2 (O),2018,Petrol,81961,Banaswadi,Moderate,6.57
578,Hyundai,Santro Sportz,2018,Petrol,44778,Banaswadi,Moderate,4.56347
579,Hyundai,Grand i10 Asta 1.2 Kappa VTVT,2018,Petrol,91312,Banaswadi,Moderate,5.16
580,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT,2015,Petrol,73390,Banaswadi,Old,4.22
581,Toyota,Glanza E,2022,Petrol,17969,Banaswadi,New,7.16
582,Honda,City VX,2018,Petrol,34952,Banaswadi,Moderate,8.37617
583,Hyundai,i10 Asta 1.2,2013,Petrol,61285,Banaswadi,Old,3.83606
584,Maruti Suzuki,Wagon R 1.0 VXI,2017,Petrol,51725,Banaswadi,Moderate,4.18
585,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT,2015,Petrol,47369,Banaswadi,Old,5.05
586,Maruti Suzuki,Wagon R VXi 1.2 AMT,2019,Petrol,16416,Banaswadi,Moderate,6.09
587,Hyundai,Elite i20 Asta 1.2,2017,Petrol,51852,Banaswadi,Moderate,6.42141
588,Maruti Suzuki,Celerio ZXi Plus AMT,2021,Petrol,20405,Basapura,Moderate,6.45722
589,Maruti Suzuki,Swift ZXi AMT,2019,Petrol,21955,Banaswadi,Moderate,6.83
590,Honda,City 1.5 S MT,2012,Petrol,87836,Basapura,Old,4.58
591,Maruti Suzuki,Ciaz ZXI+,2016,Petrol,34800,Banaswadi,Old,6.6435
592,Maruti Suzuki,Alto 800 Vxi Plus,2021,Petrol,29878,Banaswadi,Moderate,3.96546
593,Maruti Suzuki,Baleno Alpha 1.2,2017,Petrol,81548,Banaswadi,Moderate,6.17981
594,Maruti Suzuki,Baleno Zeta 1.2 AT,2016,Petrol,83635,Basapura,Old,5.31
595,Maruti Suzuki,Swift Dzire VXI,2016,Petrol,85369,Banaswadi,Old,5.49099
596,Hyundai,Eon Era +,2013,Petrol,17366,Basapura,Old,2.68019
