,Brand,Model,Year_of_Manufacture,Fuel_Type,KMs_Driven,Location,Car_Age_Category,Price(in_Lakhs)
300,Mercedes-Benz,E-Class E 220d Exclusive,2021,Diesel,24000,Hebbal,Moderate,69.0
301,Mercedes-Benz,GLS 400d 4MATIC,2020,Diesel,27000,Hebbal,Moderate,111.75
302,Volvo,XC90 D5 Inscription,2016,Diesel,69000,Hebbal,Old,43.5
303,Kia,Carnival Prestige 7 STR,2020,Diesel,60000,Hebbal,Moderate,29.75
304,Mercedes-Benz,GLS Grand Edition Diesel,2019,Diesel,108000,Hebbal,Moderate,66.7
305,Toyota,Fortuner 3.0 4x2 MT,2014,Diesel,177000,Hebbal,Old,12.45
306,Mercedes-Benz,GLS Grand Edition Diesel,2020,Diesel,59000,Hebbal,Moderate,74.95
307,Audi,Q5 35 TDI Premium Plus,2018,Diesel,81000,Hebbal,Moderate,34.95
308,Hyundai,Grand i10 Nios Sportz 1.2 Kappa VTVT Dual Tone,2019,Petrol,29705,Singasandra,Moderate,6.45
309,Tata,Tiago XZ Plus,2022,Petrol,5475,Singasandra,New,6.99
310,Kia,Carnival Limousine Plus 7 STR,2021,Diesel,24000,Hebbal,Moderate,31.95
311,Skoda,Laura Ambiente 1.9 TDI MT,2010,Diesel,91000,Binnamangala,Old,3.45
312,BMW,X7 xDrive30d DPE Signature,2020,Diesel,59000,Hebbal,Moderate,83.5
313,Mercedes-Benz,GL 350 CDI,2014,Diesel,103423,Adugodi,Old,34.0
314,Land Rover,Defender 110 HSE 2.0 Petrol,2023,Petrol,9000,Hebbal,New,123.0
315,Hyundai,Alcazar Signature (O) 6 STR 1.5 Diesel AT,2021,Diesel,24851,Adugodi,Moderate,18.68
316,Mercedes-Benz,M-Class ML 250 CDI,2015,Diesel,120000,Hebbal,Old,22.75
317,Hyundai,Venue S (O) 1.0 Turbo DCT,2022,Petrol,30000,Adugodi,New,11.19
318,Hyundai,Alcazar Signature (O) 6 STR 1.5 Diesel AT,2021,Diesel,24000,Adugodi,Moderate,18.68
319,Jeep,Compass Limited Plus Petrol AT,2019,Petrol,61000,Adugodi,Moderate,14.95
320,Ford,Endeavour Sport 2.0 4x4 AT,2020,Diesel,78000,Hebbal,Moderate,33.95
321,Maruti Suzuki,Swift ZXi Plus,2018,Petrol,64747,Banaswadi,Moderate,6.9
322,Porsche,Cayenne S Diesel,2017,Diesel,40645,BTM Layout,Moderate,105.0
323,Audi,Q5 30 TDI Sports Edition,2016,Diesel,138991,BTM Layout,Old,26.5
324,Honda,Brio V MT,2012,Petrol,54612,BTM Layout,Old,3.8
325,Audi,Q3 35 TDI Premium Plus + Sunroof,2017,Diesel,56576,BTM Layout,Moderate,24.75
326,MINI,Countryman Cooper D,2019,Diesel,53000,Hebbal,Moderate,33.0
327,Mercedes-Benz,GLS 350 d,2017,Diesel,49000,Hebbal,Moderate,57.5
328,Porsche,Cayenne Base,2019,Petrol,70000,Hebbal,Moderate,89.0
329,Toyota,Fortuner 3.0 4x4 AT,2015,Diesel,88000,Hebbal,Old,19.75
330,Toyota,Fortuner Legender 2.8 4X2 AT,2022,Diesel,47000,Hebbal,New,47.5
331,Mercedes-Benz,C-Class C 220 CDI Avantgarde,2015,Diesel,91000,Hebbal,Old,22.5
332,Audi,Q5 2.0 TDI quattro Premium Plus,2014,Diesel,94000,Hebbal,Old,20.95
333,Mercedes-Benz,GLC 220 d Progressive,2017,Diesel,75000,Hebbal,Moderate,32.5
334,Volvo,XC40 D4 R-Design,2019,Diesel,41000,BTM Layout,Moderate,37.49
335,Audi,Q7 4.2 TDI quattro,2014,Diesel,52706,Adugodi,Old,26.26
336,Toyota,Innova Crysta 2.4 VX 7 STR,2017,Diesel,210000,Hebbal,Moderate,17.45
337,Skoda,Laura Ambition 1.8 TSI,2009,Petrol,100500,Binnamangala,Old,4.9
338,Kia,Carnival Limousine Plus 7 STR,2023,Diesel,59000,Hebbal,New,37.25
339,Kia,Seltos GTX Plus 1.4 DCT,2022,Petrol,6000,Adugodi,New,17.41
340,Renault,Kwid 1.0 RXT Opt,2020,Petrol,19574,Banaswadi,Moderate,4.69
341,BMW,X5 xDrive30d xLine,2024,Diesel,9000,Hebbal,New,105.0
342,BMW,X1 sDrive20d xLine,2021,Diesel,20550,BTM Layout,Moderate,36.76
343,BMW,5 Series 530d M Sport,2021,Diesel,39000,Hebbal,Moderate,58.5
344,Mercedes-Benz,GLE 250 d,2018,Diesel,96000,Hebbal,Moderate,41.0
345,Mercedes-Benz,GLC 220 d Sport,2018,Diesel,52000,Hebbal,Moderate,38.5
346,Maruti Suzuki,Celerio VXi AMT,2014,Petrol,60132,BTM Layout,Old,4.25
347,Mitsubishi,Pajero Sport 2.5 MT,2013,Diesel,85688,BTM Layout,Old,11.45
348,Mercedes-Benz,E-Class E220 CDI Blue Efficiency,2013,Diesel,60000,BTM Layout,Old,15.85
349,Toyota,Innova Hycross ZX (O) Hybrid 7 STR,2023,Hybrid,19000,Hebbal,New,36.45
350,Maruti Suzuki,XL6 Zeta MT Petrol,2021,Petrol,80350,Hebbal,Moderate,10.25
